,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
203,1959,final,at,ch,1,,,Vienna,Bern,684.6758502979812
204,1959,final,at,dk,2,,,Vienna,København,871.9691649208438
205,1959,final,at,it,0,,,Vienna,Rome,764.1043383207954
206,1959,final,at,be,0,,,Vienna,Brussels,917.8641762519657
207,1959,final,at,de,0,,,Vienna,Berlin,524.8127243398101
208,1959,final,at,se,0,,,Vienna,Stockholm,1242.9880588648116
209,1959,final,at,at,0,,,Vienna,Vienna,0.0
210,1959,final,at,mc,1,,,Vienna,Monaco,852.8720405161995
211,1959,final,be,nl,3,,,Brussels,Amsterdam,173.5729934310053
212,1959,final,be,gb,2,,,Brussels,London,319.69309808111706
213,1959,final,be,fr,2,,,Brussels,Paris,261.801328672752
214,1959,final,be,ch,1,,,Brussels,Bern,492.811168264156
215,1959,final,be,dk,0,,,Brussels,København,768.7293452682493
216,1959,final,be,it,1,,,Brussels,Rome,1172.6152169771856
217,1959,final,be,be,0,,,Brussels,Brussels,0.0
218,1959,final,be,de,1,,,Brussels,Berlin,654.1588402686469
219,1959,final,be,se,0,,,Brussels,Stockholm,1283.8231729041247
220,1959,final,be,at,0,,,Brussels,Vienna,917.8641762519657
221,1959,final,be,mc,0,,,Brussels,Monaco,822.1292949510737
222,1959,final,dk,nl,0,,,København,Amsterdam,622.7972574644137
223,1959,final,dk,gb,1,,,København,London,957.8249123802724
224,1959,final,dk,fr,4,,,København,Paris,1028.2593187791992
225,1959,final,dk,ch,2,,,København,Bern,1036.7440357106227
226,1959,final,dk,dk,0,,,København,København,0.0
227,1959,final,dk,it,0,,,København,Rome,1531.41171527301
228,1959,final,dk,be,2,,,København,Brussels,768.7293452682493
229,1959,final,dk,de,0,,,København,Berlin,355.6111228302461
230,1959,final,dk,se,1,,,København,Stockholm,521.8561875671421
231,1959,final,dk,at,0,,,København,Vienna,871.9691649208438
232,1959,final,dk,mc,0,,,København,Monaco,1377.3194958573663
233,1959,final,fr,nl,4,,,Paris,Amsterdam,428.811084580661
234,1959,final,fr,gb,1,,,Paris,London,343.34816760322576
235,1959,final,fr,fr,0,,,Paris,Paris,0.0
236,1959,final,fr,ch,0,,,Paris,Bern,439.4187580348944
237,1959,final,fr,dk,0,,,Paris,København,1028.2593187791992
238,1959,final,fr,it,3,,,Paris,Rome,1106.6514654769796
239,1959,final,fr,be,0,,,Paris,Brussels,261.801328672752
240,1959,final,fr,de,2,,,Paris,Berlin,879.1173202399925
241,1959,final,fr,se,0,,,Paris,Stockholm,1545.1179668444095
242,1959,final,fr,at,0,,,Paris,Vienna,1036.0407521679517
243,1959,final,fr,mc,0,,,Paris,Monaco,689.6391784074304
244,1959,final,de,nl,2,,,Berlin,Amsterdam,576.9659417505894
245,1959,final,de,gb,0,,,Berlin,London,933.3328468181853
246,1959,final,de,fr,4,,,Berlin,Paris,879.1173202399925
247,1959,final,de,ch,1,,,Berlin,Bern,755.5725545140924
248,1959,final,de,dk,0,,,Berlin,København,355.6111228302461
249,1959,final,de,it,0,,,Berlin,Rome,1182.2198917921066
250,1959,final,de,be,3,,,Berlin,Brussels,654.1588402686469
251,1959,final,de,de,0,,,Berlin,Berlin,0.0
252,1959,final,de,se,0,,,Berlin,Stockholm,810.1104952838541
253,1959,final,de,at,0,,,Berlin,Vienna,524.8127243398101
254,1959,final,de,mc,0,,,Berlin,Monaco,1072.217845995094
255,1959,final,it,nl,7,,,Rome,Amsterdam,1293.6272974837725
256,1959,final,it,gb,0,,,Rome,London,1434.3928220297348
257,1959,final,it,fr,1,,,Rome,Paris,1106.6514654769796
258,1959,final,it,ch,0,,,Rome,Bern,685.0903920981563
259,1959,final,it,dk,1,,,Rome,København,1531.41171527301
260,1959,final,it,it,0,,,Rome,Rome,0.0
261,1959,final,it,be,0,,,Rome,Brussels,1172.6152169771856
262,1959,final,it,de,1,,,Rome,Berlin,1182.2198917921066
263,1959,final,it,se,0,,,Rome,Stockholm,1975.4094461608236
264,1959,final,it,at,0,,,Rome,Vienna,764.1043383207954
265,1959,final,it,mc,0,,,Rome,Monaco,463.39659153630015
266,1959,final,mc,nl,1,,,Monaco,Amsterdam,975.0115004603671
267,1959,final,mc,gb,2,,,Monaco,London,1031.496168068737
268,1959,final,mc,fr,2,,,Monaco,Paris,689.6391784074304
269,1959,final,mc,ch,1,,,Monaco,Bern,352.5791451382054
270,1959,final,mc,dk,1,,,Monaco,København,1377.3194958573663
271,1959,final,mc,it,1,,,Monaco,Rome,463.39659153630015
272,1959,final,mc,be,1,,,Monaco,Brussels,822.1292949510737
273,1959,final,mc,de,0,,,Monaco,Berlin,1072.217845995094
274,1959,final,mc,se,0,,,Monaco,Stockholm,1878.000259528193
275,1959,final,mc,at,1,,,Monaco,Vienna,852.8720405161995
276,1959,final,mc,mc,0,,,Monaco,Monaco,0.0
277,1959,final,nl,nl,0,,,Amsterdam,Amsterdam,0.0
278,1959,final,nl,gb,5,,,Amsterdam,London,358.5662240358652
279,1959,final,nl,fr,0,,,Amsterdam,Paris,428.811084580661
280,1959,final,nl,ch,0,,,Amsterdam,Bern,631.984668097504
281,1959,final,nl,dk,1,,,Amsterdam,København,622.7972574644137
282,1959,final,nl,it,0,,,Amsterdam,Rome,1293.6272974837725
283,1959,final,nl,be,1,,,Amsterdam,Brussels,173.5729934310053
284,1959,final,nl,de,0,,,Amsterdam,Berlin,576.9659417505894
285,1959,final,nl,se,3,,,Amsterdam,Stockholm,1127.8356543395107
286,1959,final,nl,at,0,,,Amsterdam,Vienna,935.9264958181074
287,1959,final,nl,mc,0,,,Amsterdam,Monaco,975.0115004603671
288,1959,final,se,nl,0,,,Stockholm,Amsterdam,1127.8356543395107
289,1959,final,se,gb,0,,,Stockholm,London,1436.008938392172
290,1959,final,se,fr,0,,,Stockholm,Paris,1545.1179668444095
291,1959,final,se,ch,3,,,Stockholm,Bern,1546.9970467246567
292,1959,final,se,dk,4,,,Stockholm,København,521.8561875671421
293,1959,final,se,it,1,,,Stockholm,Rome,1975.4094461608236
294,1959,final,se,be,0,,,Stockholm,Brussels,1283.8231729041247
